#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;x
TECH_CMP_ARMOR_44_2_NAME;Semi-Modern Gun Carriage;Affût semi-moderne;Affusto semi-moderno;Cuerpo de afuste semimoderno;Halbmoderne Lafette;Powojenny wózek dzia³a;;Ïîëóñîâðåìåííûé ëàôåò;;;x
TECH_CMP_ARMOR_44_3_NAME;Capped Shell AP Ammo;Munition AP - obus à fausse ogive;Munizioni perforanti rivestite;Munición perforante cofiada;Panzergranate mit Zündsatz;Przeciwpancerna amunicja tandemowa;;Êóìóëÿòèâíûå ñíàðÿäû;;;x
TECH_CMP_ARMOR_44_4_NAME;Infrared Optical Sights;Lunette de visée à infrarouges;Mirini ottici infrarossi;Miras ópticas de infrarrojos;Infrarotsicht;Podczerwony celownik optyczny;;Èíôðàêðàñíûé îïòè÷åñêèé ïðèöåë;;;x
TECH_CMP_ARMOR_44_5_NAME;Multiple Moving Targets Training;Entraînement multiples cibles mouvantes;Addestramento bersagli multipli mobili;Instrucción en múltiples objetivos móviles;Zielübung auf mehrere bewegliche Ziele;Trening ataku wielu ruchomych celów;;Ñòðåëüáà ïî ìíîæåñòâåííûì äâèæ. öåëÿì;;;x
TECH_APP_ARMOR_45_NAME;Great War Static Anti-Air Artillery;Artillerie antiaérienne statique Grande Guerre;Artiglieria antiaerea statica della Grande Guerra;Artillería antiaérea fija de la Gran Guerra;Statische Vorkriegsflugabwehrartillerie;Stacjonarna art. p-lot z I w. œw.;;Ñòàöèîíàðíàÿ ÏÂÎ Ïåðâîé Ìèðîâîé Âîéíû;;;x
TECH_APP_ARMOR_45_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_45_1_NAME;Old Anti-Air Gun 75mm;Ancien canon DCA 75mm;Vecchio cannone antiaereo 75 mm;Cañón antiaéreo de 75 mm antiguo;Altes Flugabwehrgeschütz 75mm;Stare dzia³o przeciwlotnicze 75mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 75ìì ñòàðîãî îáðàçöà;;;x
TECH_CMP_ARMOR_45_2_NAME;Great War Gun Carriage;Affût de la Grande Guerre;Affusto della Grande Guerra;Cuerpo de afuste de la Gran Guerra;Vorkriegslafette;Wózek dzia³a z I w. œw.;;Ëàôåò ñòàðîãî îáðàçöà;;;x
TECH_CMP_ARMOR_45_3_NAME;Old High Explosive (HE) Shells;Anciens obus explosifs brisant (HE);Proiettili ad alto potenziale obsoleti (HE);Proyectiles de alto explosivo (HE) antiguos;Alte Sprenggranate;Stare pociski burz¹ce;;Ðàçðûâíûå ñíàðÿäû ñòàðîãî îáðàçöà;;;x
TECH_CMP_ARMOR_45_4_NAME;Rangefinder Radar;Radar télémètre;Telemetro radar;Radar telemétrico;Radar-Entfernungsmesser;Dalmierz radarowy;;Äàëüíîìåðíûé ðàäàð;;;x
TECH_CMP_ARMOR_45_5_NAME;Searchlight Training;Entraînement projecteur;Addestramento riflettore;Instrucción en reflector;Suchscheinwerfertraining;Trening szperaczy;;Ïîèñêîâûé ïðîæåêòîð;;;x
TECH_APP_ARMOR_46_NAME;Early Static Anti-Air Artillery;Artillerie antiaérienne statique de base;Artiglieria antiaerea statica rudimentale;Artillería antiaérea fija temprana;Frühe statische Flugabwehrartillerie;Wczesna stacjonarna artyleria przeciwlotnicza;;Ðàííÿÿ ñòàöèîíàðíàÿ ÏÂÎ;;;x
TECH_APP_ARMOR_46_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_46_1_NAME;Anti-Air Gun 75mm;Canon DCA 75mm;Cannone antiaereo 75mm;Cañón antiaéreo de 75 mm;Flugabwehrgeschütz 75mm;Dzia³o przeciwlotnicze 75mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 75ìì;;;x
TECH_CMP_ARMOR_46_2_NAME;Early Gun Carriage;Premier affût;Affusto rudimentale;Cuerpo de afuste temprano;Frühe Lafette;Wczesny wózek dzia³a;;Ðàííèé ëàôåò;;;x
TECH_CMP_ARMOR_46_3_NAME;High Explosive (HE) Shells;Obus explosifs brisant (HE);Proiettili ad alto potenziale (HE);Proyectiles de alto explosivo (HE);Sprenggranate;Pociski burz¹ce;;Ðàçðûâíûå ñíàðÿäû;;;x
TECH_CMP_ARMOR_46_4_NAME;Basic Decimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne décimétrique I;Radar decimetrico di artiglieria antiaerea di base;Radar decimétrico básico de artillería antiaérea;Einfaches dm-Flugabwehrartillerie-Radar;Podstawowy decym. art. radar plot.;;Áàçîâûé äåöèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_46_5_NAME;Rapid Fire Training;Entraînement tir rapide;Addestramento fuoco rapido;Instrucción en fuego rápido;Schnellfeuertraining;Trening szybkiego ognia;;Ñêîðîñòíàÿ ñòðåëüáà;;;x
TECH_APP_ARMOR_47_NAME;Basic Static Anti-Air Artillery;Artillerie antiaérienne statique I;Artiglieria antiaerea statica di base;Artillería antiaérea fija básica;Einfache statische Flugabwehrartillerie;Podstawowa stacjonarna artyleria plot.;;Áàçîâàÿ ñòàöèîíàðíàÿ ÏÂÎ;;;x
TECH_APP_ARMOR_47_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_47_1_NAME;Anti-Air Gun 88mm;Canon DCA 88mm;Cannone antiaereo 88mm;Cañón antiaéreo de 88 mm;Flugabwehrgeschütz 88mm;Dzia³o przeciwlotnicze 88mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 88ìì;;;x
TECH_CMP_ARMOR_47_2_NAME;Basic Gun Carriage;Affût I;Affusto di base;Cuerpo de afuste básico;Einfache Lafette;Podstawowy wózek dzia³a;;Áàçîâûé ëàôåò;;;x
TECH_CMP_ARMOR_47_3_NAME;Fragmentation Shells;Obus à fragmentation;Proiettili a frammentazione;Proyectiles rompedores;Schrapnell;Pociski od³amkowe;;Îñêîëî÷íûå ñíàðÿäû;;;x
TECH_CMP_ARMOR_47_4_NAME;Improved Decimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne décimétrique II;Radar decimetrico di artiglieria antiaerea migliorato;Radar decimétrico mejorado de artillería antiaérea;Verbessertes dm-Flugabwehrartillerie-Radar;Ulepszony dec. artyleryjski radar plot.;;Óëó÷øåííûé äåöèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_47_5_NAME;Rapid Readiness Training;Entraînement préparation rapide;Addestramento risposta rapida;Instrucción en disponibilidad rápida;Schnellbereitschaftstraining;Trening szybkiej gotowoœci;;Óñêîðåííàÿ áîåãîòîâíîñòü;;;x
TECH_APP_ARMOR_48_NAME;Improved Static Anti-Air Artillery;Artillerie antiaérienne statique II;Artiglieria antiaerea statica migliorata;Artillería antiaérea fija mejorada;Verbesserte statische Flugabwehrartillerie;Ulepszona stacjonarna artyleria plot.;;Óëó÷øåííàÿ ñòàöèîíàðíàÿ ÏÂÎ;;;x
TECH_APP_ARMOR_48_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_48_1_NAME;Anti-Air Gun 105mm;Canon DCA 105mm;Cannone antiaereo 105mm;Cañón antiaéreo de 105 mm;Flugabwehrgeschütz 105mm;Dzia³o przeciwlotnicze 105mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 105ìì;;;x
TECH_CMP_ARMOR_48_2_NAME;Improved Gun Carriage;Affût II;Affusto migliorato;Cuerpo de afuste mejorado;Verbesserte Lafette;Ulepszony wózek dzia³a;;Óëó÷øåííûé ëàôåò;;;x
TECH_CMP_ARMOR_48_3_NAME;Variable Time Fuse;Fusée à temps variable;Spoletta a durata variabile;Espoleta de tiempo variable;Variabler Zeitzünder;Zapalnik czasowy;;Âçðûâàòåëü ñ ïåðåìåííîé çàäåðæêîé;;;x
TECH_CMP_ARMOR_48_4_NAME;Basic Centimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne centimétrique I;Radar centimetrico di artiglieria antiaerea base;Radar centimétrico básico de artillería antiaérea;Einfaches cm-Flugabwehrartillerie-Radar;Podstawowy centymetrowy art. radar plot.;;Áàçîâûé ñàíòèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_48_5_NAME;Box Barrage Training;Entraînement sur cases;Addestramento sbarramento a casse;Instrucción en barrera de encajonamiento;Sperrbatterie-Training;Trening ostrza³u strefowego;;Çàãðàäèòåëüíûé îãîíü ïî ñåêòîðàì;;;x
TECH_APP_ARMOR_49_NAME;Advanced Static Anti-Air Artillery;Artillerie antiaérienne statique III;Artiglieria antiaerea statica avanzata;Artillería antiaérea fija avanzada;Fortschrittliche statische Flugabwehrartillerie;Zaawansowana stacjonarna art. plot.;;Óñîâåðøåíñòâîâàííàÿ ñòàöèîíàðíàÿ ÏÂÎ;;;x
TECH_APP_ARMOR_49_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_49_1_NAME;Anti-Air Gun 120mm;Canon DCA 120mm;Cannone antiaereo 120mm;Cañón antiaéreo de 120 mm;Flugabwehrgeschütz 120mm;Dzia³o przeciwlotnicze 120mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 120ìì;;;x
TECH_CMP_ARMOR_49_2_NAME;Advanced Gun Carriage;Affût III;Affusto avanzato;Cuerpo de afuste avanzado;Fortschrittliche Lafette;Zaawansowany wózek dzia³a;;Óñîâåðøåíñòâîâàííûé ëàôåò;;;x
TECH_CMP_ARMOR_49_3_NAME;Radar Proximity Fuse;Fusée de proximité radar;Spoletta a prossimità radar;Espoleta con radar de proximidad;Radar-Annäherungszünder;Radarowy zapalnik zbli¿eniowy;;Ðàäèîëîêàöèîííûé âçðûâàòåëü;;;x
TECH_CMP_ARMOR_49_4_NAME;Improved Centimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne centimétrique II;Radar centimetrico di artiglieria antiaerea migliorato;Radar centimétrico mejorado de artillería antiaérea;Verbessertes cm-Flugabwehrartillerie-Radar;Ulepszony centymetrowy art. radar plot.;;Óëó÷øåííûé ñàíòèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_49_5_NAME;C3I Coordination Training;Entraînement coordination C31;Addestramento coordinamento C3I;Instrucción en coordinación C3I;C3I-Koordinationstraining;Trening po³¹czonego syst. rozp. i dow.;;Êîîðäèíàöèÿ êîìàíäîâàíèÿ è ñâÿçè;;;x
TECH_APP_ARMOR_50_NAME;Semi-Modern Static Anti-Air Artillery;Artillerie DCA statique semi-moderne;Artiglieria antiaerea statica semi-moderna;Artillería antiaérea fija semimoderna;Halbmoderne statische Flugabwehrartillerie;Powojenna stacj. art. plot.;;Ïîëóñîâðåìåííàÿ ñòàöèîíàðíàÿ ÏÂÎ;;;x
TECH_APP_ARMOR_50_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_50_1_NAME;Anti-Air Gun 120mm Quick-Fire;Canon antiaérien 120mm à obturation par la douille;Cannone antiaereo 120 mm a fuoco rapido;Cañón antiaéreo de 120 mm y de tiro rápido;Schnellfeuerflugabwehrgeschütz 120mm;Szybkostrzelne dzia³o plot. 120mm;;Ñêîðîñòðåëüíàÿ ïðîòèâîâîçäóøíàÿ ïóøêà 120ìì;;;x
TECH_CMP_ARMOR_50_2_NAME;Semi-Modern Gun Carriage;Affût semi-moderne;Affusto semi-moderno;Cuerpo de afuste semimoderno;Halbmoderne Lafette;Powojenny wózek dzia³a;;Ïîëóñîâðåìåííûé ëàôåò;;;x
TECH_CMP_ARMOR_50_3_NAME;Radar Proximity Fuse;Fusée de proximité radar;Spoletta a prossimità radar;Espoleta con radar de proximidad;Radar-Annäherungszünder;Radarowy zapalnik zbli¿eniowy;;Ðàäèîëîêàöèîííûé âçðûâàòåëü;;;x
TECH_CMP_ARMOR_50_4_NAME;Advanced Centimetric Anti-Air Radar;Radar antiaérien centimétrique III;Radar centimetrico antiaereo avanzato;Radar centimétrico avanzado antiaéreo;Fortschrittliches cm-Flugabwehr-Radar;Zaawansowany centymetrowy art. radar plot.;;Óñîâåðøåíñòâîâàííûé ñàíòèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_50_5_NAME;Radar Target Plotting Training;Entraînement tracé de cible;Addestramento tracciamento radar del bersaglio;Instrucción en fijación de objetivos de radar;Radarziel-Training;Trening oznaczania celów radarowych;;Ðàäàðíîå ïðèöåëèâàíèå;;;x
TECH_APP_ARMOR_51_NAME;Basic Anti-Air Artillery Brigade;Brigade d’artillerie antiaérienne I;Brigata di artiglieria anti-carro di base;Brigada de artillería antiaérea básica;Einfache Flugabwehrartillerie-Brigade;Podstawowa brygada artylerii plot.;;Áàçîâàÿ áàòàðåÿ ÏÂÎ;;;x
TECH_APP_ARMOR_51_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_51_1_NAME;Anti-Air Gun 20mm;Canon DCA 20mm;Cannone antiaereo 20mm;Cañón antiaéreo de 20 mm;Flugabwehrgeschütz 20mm;Dzia³o przeciwlotnicze 20mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 20ìì;;;x
TECH_CMP_ARMOR_51_2_NAME;Anti-Air Gun 75mm;Canon DCA 75mm;Cannone antiaereo 75mm;Cañón antiaéreo de 75 mm;Flugabwehrgeschütz 75mm;Dzia³o przeciwlotnicze 75mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 75ìì;;;x
TECH_CMP_ARMOR_51_3_NAME;Fragmentation Shells;Obus à fragmentation;Proiettili a frammentazione;Proyectiles rompedores;Schrapnell;Pociski od³amkowe;;Îñêîëî÷íûå ñíàðÿäû;;;x
TECH_CMP_ARMOR_51_4_NAME;Improved Decimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne décimétrique II;Radar decimetrico di artiglieria antiaerea migliorato;Radar decimétrico mejorado de artillería antiaérea;Verbessertes dm-Flugabwehrartillerie-Radar;Ulepszony decymetrowy art. radar plot.;;Óëó÷øåííûé äåöèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_51_5_NAME;Rapid Readiness Training;Entraînement préparation rapide;Addestramento risposta rapida;Instrucción en disponibilidad rápida;Schnellbereitschaftstraining;Trening szybkiej gotowoœci;;Óñêîðåííàÿ áîåãîòîâíîñòü;;;x
TECH_APP_ARMOR_52_NAME;Improved Anti-Air Artillery Brigade;Brigade d’artillerie antiaérienne II;Brigata di artiglieria anti-carro migliorato;Brigada de artillería antiaérea mejorada;Verbesserte Flugabwehrartillerie-Brigade;Ulepszona brygada artylerii przeciwlotniczej;;Óëó÷øåííàÿ áàòàðåÿ ÏÂÎ;;;x
TECH_APP_ARMOR_52_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_52_1_NAME;Anti-Air Gun 40mm;Canon DCA 40mm;Cannone antiaereo 40mm;Cañón antiaéreo de 40 mm;Flugabwehrgeschütz 40mm;Dzia³o przeciwlotnicze 40mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 40ìì;;;x
TECH_CMP_ARMOR_52_2_NAME;Anti-Air Gun 88mm;Canon DCA 88mm;Cannone antiaereo 88mm;Cañón antiaéreo de 88 mm;Flugabwehrgeschütz 88mm;Dzia³o przeciwlotnicze 88mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 88ìì;;;x
TECH_CMP_ARMOR_52_3_NAME;Variable Time Fuse;Fusée à temps variable;Spoletta a durata variabile;Espoleta de tiempo variable;Variabler Zeitzünder;Zapalnik czasowy;;Âçðûâàòåëü ñ ïåðåìåííîé çàäåðæêîé;;;x
TECH_CMP_ARMOR_52_4_NAME;Basic Centimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne centimétrique I;Radar centimetrico di artiglieria antiaerea di base;Radar centimétrico básico de artillería antiaérea;Einfaches cm-Flugabwehrartillerie-Radar;Podstawowy centymetrowy art. radar plot.;;Áàçîâûé ñàíòèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_52_5_NAME;Box Barrage Training;Entraînement sur cases;Addestramento sbarramento a casse;Instrucción en barrera de encajonamiento;Sperrbatterie-Training;Trening ostrza³u strefowego;;Çàãðàäèòåëüíûé îãîíü ïî ñåêòîðàì;;;x
TECH_APP_ARMOR_53_NAME;Advanced Anti-Air Artillery Brigade;Brigade d’artillerie antiaérienne III;Brigata di artiglieria anti-carro avanzata;Brigada de artillería antiaérea avanzada;Fortschrittliche Flugabwehrartillerie-Brigade;Zaawansowana brygada artylerii plot.;;Óñîâåðøåíñòâîâàííàÿ áàòàðåÿ ÏÂÎ;;;x
TECH_APP_ARMOR_53_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_53_1_NAME;Anti-Air Gun 20mm Quad;Canon DCA 20mm x4;Cannone quadruplo antiaereo 20mm;Cañón antiaéreo cuádruple de 20 mm;Vierfaches Flugabwehrgeschütz 20mm;Poczwórne dzia³o przeciwlotnicze 20mm;;Ñ÷åòâåðåííàÿ òóðåëü 20ìì;;;x
TECH_CMP_ARMOR_53_2_NAME;Anti-Air Gun 105mm;Canon DCA 105mm;Cannone antiaereo 105mm;Cañón antiaéreo de 105 mm;Flugabwehrgeschütz 105mm;Dzia³o przeciwlotnicze 105mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 105ìì;;;x
TECH_CMP_ARMOR_53_3_NAME;Radar Proximity Fuse;Fusée de proximité radar;Spoletta a prossimità radar;Espoleta con radar de proximidad;Radar-Annäherungszünder;Radarowy zapalnik zbli¿eniowy;;Ðàäèîëîêàöèîííûé âçðûâàòåëü;;;x
TECH_CMP_ARMOR_53_4_NAME;Improved Centimetric Anti-Air Artillery Radar;Radar artillerie antiaérienne centimétrique II;Radar centimetrico di artiglieria antiaerea migliorato;Radar centimétrico mejorado de artillería antiaérea;Verbessertes cm-Flugabwehrartillerie-Radar;Ulepszony centymetrowy art. radar plot.;;Óëó÷øåííûé ñàíòèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_53_5_NAME;C3I Coordination Training;Entraînement coordination C31;Addestramento coordinamento C3I;Instrucción en coordinación C3I;C3I-Koordinationstraining;Trening po³¹czonego syst. rozp. i dow.;;Êîîðäèíàöèÿ êîìàíäîâàíèÿ è ñâÿçè;;;x
TECH_APP_ARMOR_54_NAME;Semi-Modern Anti-Air Artillery Brigade;Brigade d’artillerie antiaérienne semi-moderne;Brigata di artiglieria antiaerea semi-moderna;Brigada de artillería antiaérea semimoderna;Halbmoderne Flugabwehrartillerie-Brigade;Powojenna brygada art. plot.;;Ïîëóñîâðåìåííàÿ áàòàðåÿ ÏÂÎ;;;x
TECH_APP_ARMOR_54_DESC;;;;;;;;;;;x
TECH_CMP_ARMOR_54_1_NAME;Anti-Air Gun 40mm Quad;Canon DCA 40mm x4;Cannone quadruplo antiaereo 40 mm;Cañón antiaéreo cuádruple de 40 mm;Vierfaches Flugabwehrgeschütz 40mm;Poczwórne dzia³o przeciwlotnicze 40mm;;Ñ÷åòâåðåííàÿ òóðåëü 40ìì;;;x
TECH_CMP_ARMOR_54_2_NAME;Anti-Air Gun 128mm;Canon DCA 128mm;Cannone antiaereo 128 mm;Cañón antiaéreo de 128 mm;Flugabwehrgeschütz 128mm;Dzia³o przeciwlotnicze 128mm;;Ïðîòèâîâîçäóøíàÿ ïóøêà 128ìì;;;x
TECH_CMP_ARMOR_54_3_NAME;Radar Proximity Fuse;Fusée de proximité radar;Spoletta a prossimità radar;Espoleta con radar de proximidad;Radar-Annäherungszünder;Radarowy zapalnik zbli¿eniowy;;Ðàäèîëîêàöèîííûé âçðûâàòåëü;;;x
TECH_CMP_ARMOR_54_4_NAME;Advanced Centimetric Anti-Air Radar;Radar antiaérien centimétrique III;Radar centimetrico antiaereo avanzato;Radar centimétrico avanzado antiaéreo;Fortschrittliches cm-Flugabwehr-Radar;Zaawansowany centymetrowy art. radar plot.;;Óñîâåðøåíñòâîâàííûé ñàíòèìåòðîâûé ðàäàð;;;x
TECH_CMP_ARMOR_54_5_NAME;Radar Target Plotting Training;Entraînement tracé cible;Addestramento tracciamento radar del bersaglio;Instrucción en seguimiento de objetivos de radar;Radarziel-Training;Trening oznaczania celów radarowych;;Ðàäàðíîå ïðèöåëèâàíèå;;;x
#;;;;;;;;;;;x
TECH_AIRCRAFT_NAME;Aircraft;Avion;Aerea;Aviación;Flugzeuge;Samoloty;;Àâèàöèÿ;;;x
TECH_AIRCRAFT_DESC;This field of research allows a nation to develop weapons and materials for its air force. It includes cannon, engines and aircraft fuselage allowing the construction of fighters and bomber units. This field is vital if you want good aircraft and air superiority is important if you are to win the war.;Ce domaine de recherche permet à une nation de mettre au point des armes et des équipements destinés à l’armée de l’air. Il s’agit notamment de canons, de moteurs et de fuselage d’avions qui permettent de développer des chasseurs et des unités de bombardiers. Ce domaine est crucial si vous voulez avoir un bon appareil , attention ! Posséder la supériorité aérienne est indispensable si vous voulez gagner la guerre.;Questo campo di ricerche permette a una nazione di sviluppare armi e materiali per le sue forze aeree. Comprende cannoni, motori e fusoliere, che consentono di realizzare caccia e bombardieri. Si tratta di un campo di ricerche vitale se vuoi poter contare su velivoli validi: ricorda, la superiorità aerea è fondamentale per vincere la guerra.;Este campo de investigación permite a una nación desarrollar armas y materiales para su fuerza aérea. Incluye cañones, motores y fuselaje para aviones que posibilitan la construcción de cazas y bombarderos. Es un campo vital si quieres una buena aviación: ten en cuenta que la superioridad aérea es muy importante si deseas ganar la guerra.;Dieses Forschungsfeld erlaubt Nationen Waffen und Material für ihre Luftwaffe zu entwickeln. Es schließt Kanonen, Maschinen und Flugzeugrümpfe ein, mit denen Jäger und Bombereinheiten gebaut werden können. Dieses Feld ist äußerst wichtig, wenn Sie über gute Flugzeuge verfügen wollen - denn, um einen Krieg gewinnen zu können müssen Sie die Luftüberlegenheit mit einbeziehen.;Ta ga³¹Ÿ rozwoju pozwala pañstwu na rozwiniêcie broni i materia³ów dla si³ powietrznych. W ich sk³ad wchodz¹ dzia³a, silniki i kad³uby lotnicze, umo¿liwiaj¹ce konstrukcjê myœliwców i bombowców. To pole jest istotne, jeœli chcesz dysponowaæ dobrymi samolotami, a zauwa¿ ¿e dominacja w powietrzu jest szalenie wa¿na, jeœli chcesz wygraæ wojnê.;;Èññëåäîâàíèÿ â ýòîé îáëàñòè íåîáõîäèìû ãîñóäàðñòâó äëÿ ïîääåðæàíèÿ áîåñïîñîáíîñòè âîåííî-âîçäóøíûõ ñèë. Îíè îáåñïå÷èâàþò ñâîåâðåìåííóþ ìîäåðíèçàöèþ âîîðóæåíèÿ, äâèãàòåëåé è ôþçåëÿæåé äëÿ èñòðåáèòåëåé è áîìáàðäèðîâùèêîâ. Ïîìíèòå, ÷òî ãîñïîäñòâî â âîçäóõå î÷åíü âàæíî äëÿ óñïåøíîãî âåäåíèÿ âîåííûõ äåéñòâèé.;;;x
TECH_APP_AIRCRAFT_1_NAME;Interwar Fighter;Chasseur entre 2 guerres;Caccia fra due guerre;Caza de entreguerras;Vorkriegsjäger;Myœliwiec z I w. œw.;;Ïðåäâîåííûé èñòðåáèòåëü;;;x
TECH_APP_AIRCRAFT_1_DESC;;;;;;;;;;;x
TECH_CMP_AIRCRAFT_1_1_NAME;Interwar Short Range Engine;Moteur courte portée entre 2 guerres;Motore a breve raggio fra due guerre;Motor de corto alcance de entreguerras;Vorkriegskurzstreckentriebwerk;Silnik myœl. blisk. zasiêgu z pierw. wojny;;Ïðåäâîåííûé äâèãàòåëü ìàëîé äàëüíîñòè;;;x
TECH_CMP_AIRCRAFT_1_2_NAME;Interwar Fighter Airframe;Cellule chasseur entre 2 guerres;Telaio di caccia fra due guerre;Armazón de caza de entreguerras;Rumpf für Vorkriegsjäger;Kad³ub myœliwca z I w. œw.;;Ïðåäâîåííûé ôþçåëÿæ;;;x
TECH_CMP_AIRCRAFT_1_3_NAME;6.5mm MGs;MG 6.5mm;Mitragliatrici da 6,5mm;Ametralladoras de 6,5 mm;6,5mm MGs;Karabiny maszynowe 6.5mm;;Ïóëåìåò 6.5ìì;;;x
TECH_CMP_AIRCRAFT_1_4_NAME;Optical Signaling;Avertissement optique;Segnalazioni ottiche;Señalización óptica;Optische Signalisierung;Sygnalizacja optyczna;;Âèçóàëüíûå ñèãíàëû;;;x
TECH_CMP_AIRCRAFT_1_5_NAME;Interwar Fighter Prototype Tests;Essais du prototype de chasseur entre 2 guerres;Test prototipo caccia fra due guerre;Pruebas de prototipo de caza de entreguerras;Prototypentest mit Vorkriegsjägern;Testy prototypowe myœl. z I w. œw.;;Èñïûòàíèÿ ïðåäâîåííîãî èñòðåáèòåëÿ;;;x
TECH_APP_AIRCRAFT_2_NAME;Early Fighter;Premier chasseur;Caccia rudimentale;Caza temprano;Früher Jäger;Wczesny myœliwiec;;Ðàííèé èñòðåáèòåëü;;;x
TECH_APP_AIRCRAFT_2_DESC;;;;;;;;;;;x
TECH_CMP_AIRCRAFT_2_1_NAME;Early Short Range Engine;Premier moteur courte portée;Motore a breve raggio rudimentale;Motor de corto alcance temprano;Frühe Kurzstreckentriebwerk;Silnik wczesnego myœliwca bliskiego zasiêgu;;Ðàííèé äâèãàòåëü ìàëîé äàëüíîñòè;;;x
TECH_CMP_AIRCRAFT_2_2_NAME;Early Fighter Airframe;Première cellule chasseur;Telaio di caccia rudimentale;Armazón de caza temprano;Rumpf für frühe Jäger;Kad³ub wczesnego myœliwca;;Ðàííèé ôþçåëÿæ;;;x
TECH_CMP_AIRCRAFT_2_3_NAME;6.5mm MGs;Mitraill. 6.5mm;Mitragliatrici da 6,5mm;Ametralladoras de 6,5 mm;6,5mm MGs;Karabiny maszynowe 6.5mm;;Ïóëåìåò 6.5ìì;;;x
TECH_CMP_AIRCRAFT_2_4_NAME;Optical Signaling;Avertissement optique;Segnalazioni ottiche;Señalización óptica;Optische Signalisierung;Sygnalizacja optyczna;;Âèçóàëüíûå ñèãíàëû;;;x
TECH_CMP_AIRCRAFT_2_5_NAME;Early Fighter Prototype Tests;Essais du prototype de premier chasseur;Test prototipo caccia rudimentale;Pruebas de prototipo de caza temprano;Prototypentests früher Jäger;Testy prototypowe wczesnego myœliwca;;Èñïûòàíèÿ ðàííåãî èñòðåáèòåëÿ;;;x
TECH_APP_AIRCRAFT_3_NAME;Basic Interceptor;Intercepteur I;Intercettore standard;Interceptor básico;Einfacher Abfangjäger;Podstawowy myœliwiec przechwytuj¹cy;;Áàçîâûé èñòðåáèòåëü;;;x
TECH_APP_AIRCRAFT_3_DESC;;;;;;;;;;;x
TECH_CMP_AIRCRAFT_3_1_NAME;Basic Short Range Engine;Moteur courte portée I;Motore a breve raggio di base;Motor de corto alcance básico;Einfache Kurzstreckentriebwerk;Silnik podstawowego myœliwca bliskiego zas.;;Áàçîâûé äâèãàòåëü ìàëîé äàëüíîñòè;;;x
TECH_CMP_AIRCRAFT_3_2_NAME;Basic Interceptor Airframe;Cellule Intercepteur I;Telaio di intercettore standard;Armazón de interceptor básico;Rumpf für einfachen Abfangjäger;Kad³ub podstawowego myœliwca przechw.;;Áàçîâûé ôþçåëÿæ;;;x
TECH_CMP_AIRCRAFT_3_3_NAME;7.62mm MGs;Mitraill. 7,62mm;Mitragliatrici da 7,62mm;Ametralladoras de 7,62 mm;7,62mm MGs;Karabiny maszynowe 7.62mm;;Ïóëåìåò 7.62ìì;;;x
TECH_CMP_AIRCRAFT_3_4_NAME;Basic Decimetric Airborne Interceptor Radar;Radar d’interception aéroportée décimétrique I;Radar aereo intercettore decimetrico di base;Radar decimétrico básico para interceptor;Einfaches Dezimeter-Jägerradar;Podstawowy decymetrowy radar przechwytuj¹cy;;Áàçîâûé äåöèìåòðîâûé ðàäàð;;;x
